season,league,role,minutes_band,player_seasons
2010,Bundesliga,Attack,1800+,22
2010,Bundesliga,Attack,450-899,13
2010,Bundesliga,Attack,900-1799,25
2010,Bundesliga,Attack,<450,17
2010,Bundesliga,Defender,1800+,53
2010,Bundesliga,Defender,450-899,8
2010,Bundesliga,Defender,900-1799,30
2010,Bundesliga,Defender,<450,18
2010,Bundesliga,Goalkeeper,1800+,11
2010,Bundesliga,Goalkeeper,450-899,2
2010,Bundesliga,Goalkeeper,<450,15
2010,Bundesliga,Midfield,1800+,36
2010,Bundesliga,Midfield,450-899,11
2010,Bundesliga,Midfield,900-1799,22
2010,Bundesliga,Midfield,<450,28
2010,Bundesliga,unknown,1800+,36
2010,Bundesliga,unknown,450-899,32
2010,Bundesliga,unknown,900-1799,33
2010,Bundesliga,unknown,<450,77
2010,La Liga,Attack,1800+,35
2010,La Liga,Attack,450-899,11
2010,La Liga,Attack,900-1799,26
2010,La Liga,Attack,<450,21
2010,La Liga,Defender,1800+,50
2010,La Liga,Defender,450-899,9
2010,La Liga,Defender,900-1799,32
2010,La Liga,Defender,<450,21
2010,La Liga,Goalkeeper,1800+,12
2010,La Liga,Goalkeeper,450-899,3
2010,La Liga,Goalkeeper,900-1799,6
2010,La Liga,Goalkeeper,<450,5
2010,La Liga,Midfield,1800+,41
2010,La Liga,Midfield,450-899,8
2010,La Liga,Midfield,900-1799,23
2010,La Liga,Midfield,<450,18
2010,La Liga,Missing,450-899,1
2010,La Liga,Missing,<450,1
2010,La Liga,unknown,1800+,53
2010,La Liga,unknown,450-899,42
2010,La Liga,unknown,900-1799,63
2010,La Liga,unknown,<450,64
2010,Ligue 1,Attack,1800+,32
2010,Ligue 1,Attack,450-899,11
2010,Ligue 1,Attack,900-1799,23
2010,Ligue 1,Attack,<450,22
2010,Ligue 1,Defender,1800+,58
2010,Ligue 1,Defender,450-899,14
2010,Ligue 1,Defender,900-1799,21
2010,Ligue 1,Defender,<450,17
2010,Ligue 1,Goalkeeper,1800+,13
2010,Ligue 1,Goalkeeper,450-899,3
2010,Ligue 1,Goalkeeper,900-1799,5
2010,Ligue 1,Goalkeeper,<450,8
2010,Ligue 1,Midfield,1800+,50
2010,Ligue 1,Midfield,450-899,15
2010,Ligue 1,Midfield,900-1799,22
2010,Ligue 1,Midfield,<450,22
2010,Ligue 1,Missing,1800+,1
2010,Ligue 1,unknown,1800+,48
2010,Ligue 1,unknown,450-899,28
2010,Ligue 1,unknown,900-1799,54
2010,Ligue 1,unknown,<450,62
2010,Premier League,Attack,1800+,32
2010,Premier League,Attack,450-899,9
2010,Premier League,Attack,900-1799,24
2010,Premier League,Attack,<450,27
2010,Premier League,Defender,1800+,57
2010,Premier League,Defender,450-899,14
2010,Premier League,Defender,900-1799,31
2010,Premier League,Defender,<450,36
2010,Premier League,Goalkeeper,1800+,13
2010,Premier League,Goalkeeper,450-899,4
2010,Premier League,Goalkeeper,900-1799,2
2010,Premier League,Goalkeeper,<450,10
2010,Premier League,Midfield,1800+,39
2010,Premier League,Midfield,450-899,11
2010,Premier League,Midfield,900-1799,24
2010,Premier League,Midfield,<450,26
2010,Premier League,unknown,1800+,59
2010,Premier League,unknown,450-899,37
2010,Premier League,unknown,900-1799,50
2010,Premier League,unknown,<450,61
2010,Serie A,Attack,1800+,29
2010,Serie A,Attack,450-899,14
2010,Serie A,Attack,900-1799,25
2010,Serie A,Attack,<450,29
2010,Serie A,Defender,1800+,63
2010,Serie A,Defender,450-899,12
2010,Serie A,Defender,900-1799,39
2010,Serie A,Defender,<450,20
2010,Serie A,Goalkeeper,1800+,17
2010,Serie A,Goalkeeper,450-899,4
2010,Serie A,Goalkeeper,900-1799,3
2010,Serie A,Goalkeeper,<450,18
2010,Serie A,Midfield,1800+,49
2010,Serie A,Midfield,450-899,8
2010,Serie A,Midfield,900-1799,24
2010,Serie A,Midfield,<450,28
2010,Serie A,unknown,1800+,33
2010,Serie A,unknown,450-899,44
2010,Serie A,unknown,900-1799,47
2010,Serie A,unknown,<450,70
2011,Bundesliga,Attack,1800+,22
2011,Bundesliga,Attack,450-899,15
2011,Bundesliga,Attack,900-1799,33
2011,Bundesliga,Attack,<450,27
2011,Bundesliga,Defender,1800+,48
2011,Bundesliga,Defender,450-899,10
2011,Bundesliga,Defender,900-1799,32
2011,Bundesliga,Defender,<450,23
2011,Bundesliga,Goalkeeper,1800+,11
2011,Bundesliga,Goalkeeper,450-899,4
2011,Bundesliga,Goalkeeper,900-1799,8
2011,Bundesliga,Goalkeeper,<450,4
2011,Bundesliga,Midfield,1800+,41
2011,Bundesliga,Midfield,450-899,9
2011,Bundesliga,Midfield,900-1799,28
2011,Bundesliga,Midfield,<450,21
2011,Bundesliga,unknown,1800+,28
2011,Bundesliga,unknown,450-899,30
2011,Bundesliga,unknown,900-1799,22
2011,Bundesliga,unknown,<450,61
2011,La Liga,Attack,1800+,41
2011,La Liga,Attack,450-899,15
2011,La Liga,Attack,900-1799,26
2011,La Liga,Attack,<450,23
2011,La Liga,Defender,1800+,61
2011,La Liga,Defender,450-899,11
2011,La Liga,Defender,900-1799,31
2011,La Liga,Defender,<450,23
2011,La Liga,Goalkeeper,1800+,15
2011,La Liga,Goalkeeper,450-899,4
2011,La Liga,Goalkeeper,900-1799,8
2011,La Liga,Goalkeeper,<450,8
2011,La Liga,Midfield,1800+,38
2011,La Liga,Midfield,450-899,17
2011,La Liga,Midfield,900-1799,32
2011,La Liga,Midfield,<450,34
2011,La Liga,unknown,1800+,43
2011,La Liga,unknown,450-899,28
2011,La Liga,unknown,900-1799,40
2011,La Liga,unknown,<450,58
2011,Ligue 1,Attack,1800+,37
2011,Ligue 1,Attack,450-899,19
2011,Ligue 1,Attack,900-1799,22
2011,Ligue 1,Attack,<450,38
2011,Ligue 1,Defender,1800+,69
2011,Ligue 1,Defender,450-899,16
2011,Ligue 1,Defender,900-1799,20
2011,Ligue 1,Defender,<450,24
2011,Ligue 1,Goalkeeper,1800+,14
2011,Ligue 1,Goalkeeper,450-899,3
2011,Ligue 1,Goalkeeper,900-1799,1
2011,Ligue 1,Goalkeeper,<450,8
2011,Ligue 1,Midfield,1800+,53
2011,Ligue 1,Midfield,450-899,17
2011,Ligue 1,Midfield,900-1799,25
2011,Ligue 1,Midfield,<450,23
2011,Ligue 1,Missing,1800+,1
2011,Ligue 1,unknown,1800+,39
2011,Ligue 1,unknown,450-899,12
2011,Ligue 1,unknown,900-1799,36
2011,Ligue 1,unknown,<450,66
2011,Premier League,Attack,1800+,32
2011,Premier League,Attack,450-899,15
2011,Premier League,Attack,900-1799,29
2011,Premier League,Attack,<450,38
2011,Premier League,Defender,1800+,64
2011,Premier League,Defender,450-899,16
2011,Premier League,Defender,900-1799,33
2011,Premier League,Defender,<450,32
2011,Premier League,Goalkeeper,1800+,17
2011,Premier League,Goalkeeper,450-899,3
2011,Premier League,Goalkeeper,900-1799,5
2011,Premier League,Goalkeeper,<450,3
2011,Premier League,Midfield,1800+,48
2011,Premier League,Midfield,450-899,20
2011,Premier League,Midfield,900-1799,26
2011,Premier League,Midfield,<450,31
2011,Premier League,unknown,1800+,36
2011,Premier League,unknown,450-899,28
2011,Premier League,unknown,900-1799,32
2011,Premier League,unknown,<450,55
2011,Serie A,Attack,1800+,26
2011,Serie A,Attack,450-899,26
2011,Serie A,Attack,900-1799,30
2011,Serie A,Attack,<450,32
2011,Serie A,Defender,1800+,64
2011,Serie A,Defender,450-899,25
2011,Serie A,Defender,900-1799,35
2011,Serie A,Defender,<450,25
2011,Serie A,Goalkeeper,1800+,17
2011,Serie A,Goalkeeper,450-899,1
2011,Serie A,Goalkeeper,900-1799,4
2011,Serie A,Goalkeeper,<450,14
2011,Serie A,Midfield,1800+,54
2011,Serie A,Midfield,450-899,13
2011,Serie A,Midfield,900-1799,27
2011,Serie A,Midfield,<450,37
2011,Serie A,unknown,1800+,30
2011,Serie A,unknown,450-899,21
2011,Serie A,unknown,900-1799,37
2011,Serie A,unknown,<450,53
2012,Bundesliga,Attack,1800+,33
2012,Bundesliga,Attack,450-899,20
2012,Bundesliga,Attack,900-1799,31
2012,Bundesliga,Attack,<450,38
2012,Bundesliga,Defender,1800+,54
2012,Bundesliga,Defender,450-899,17
2012,Bundesliga,Defender,900-1799,42
2012,Bundesliga,Defender,<450,27
2012,Bundesliga,Goalkeeper,1800+,17
2012,Bundesliga,Goalkeeper,450-899,4
2012,Bundesliga,Goalkeeper,900-1799,2
2012,Bundesliga,Goalkeeper,<450,7
2012,Bundesliga,Midfield,1800+,39
2012,Bundesliga,Midfield,450-899,13
2012,Bundesliga,Midfield,900-1799,32
2012,Bundesliga,Midfield,<450,35
2012,Bundesliga,unknown,1800+,12
2012,Bundesliga,unknown,450-899,16
2012,Bundesliga,unknown,900-1799,14
2012,Bundesliga,unknown,<450,36
2012,La Liga,Attack,1800+,41
2012,La Liga,Attack,450-899,18
2012,La Liga,Attack,900-1799,36
2012,La Liga,Attack,<450,28
2012,La Liga,Defender,1800+,67
2012,La Liga,Defender,450-899,15
2012,La Liga,Defender,900-1799,42
2012,La Liga,Defender,<450,21
2012,La Liga,Goalkeeper,1800+,16
2012,La Liga,Goalkeeper,450-899,1
2012,La Liga,Goalkeeper,900-1799,8
2012,La Liga,Goalkeeper,<450,12
2012,La Liga,Midfield,1800+,50
2012,La Liga,Midfield,450-899,16
2012,La Liga,Midfield,900-1799,33
2012,La Liga,Midfield,<450,33
2012,La Liga,unknown,1800+,20
2012,La Liga,unknown,450-899,19
2012,La Liga,unknown,900-1799,33
2012,La Liga,unknown,<450,42
2012,Ligue 1,Attack,1800+,31
2012,Ligue 1,Attack,450-899,17
2012,Ligue 1,Attack,900-1799,36
2012,Ligue 1,Attack,<450,36
2012,Ligue 1,Defender,1800+,63
2012,Ligue 1,Defender,450-899,21
2012,Ligue 1,Defender,900-1799,40
2012,Ligue 1,Defender,<450,31
2012,Ligue 1,Goalkeeper,1800+,18
2012,Ligue 1,Goalkeeper,450-899,1
2012,Ligue 1,Goalkeeper,<450,10
2012,Ligue 1,Midfield,1800+,59
2012,Ligue 1,Midfield,450-899,15
2012,Ligue 1,Midfield,900-1799,44
2012,Ligue 1,Midfield,<450,26
2012,Ligue 1,unknown,1800+,18
2012,Ligue 1,unknown,450-899,17
2012,Ligue 1,unknown,900-1799,19
2012,Ligue 1,unknown,<450,47
2012,Premier League,Attack,1800+,40
2012,Premier League,Attack,450-899,21
2012,Premier League,Attack,900-1799,28
2012,Premier League,Attack,<450,39
2012,Premier League,Defender,1800+,63
2012,Premier League,Defender,450-899,23
2012,Premier League,Defender,900-1799,42
2012,Premier League,Defender,<450,28
2012,Premier League,Goalkeeper,1800+,19
2012,Premier League,Goalkeeper,450-899,4
2012,Premier League,Goalkeeper,900-1799,1
2012,Premier League,Goalkeeper,<450,12
2012,Premier League,Midfield,1800+,48
2012,Premier League,Midfield,450-899,17
2012,Premier League,Midfield,900-1799,37
2012,Premier League,Midfield,<450,38
2012,Premier League,unknown,1800+,27
2012,Premier League,unknown,450-899,10
2012,Premier League,unknown,900-1799,25
2012,Premier League,unknown,<450,38
2012,Serie A,Attack,1800+,30
2012,Serie A,Attack,450-899,27
2012,Serie A,Attack,900-1799,27
2012,Serie A,Attack,<450,33
2012,Serie A,Defender,1800+,70
2012,Serie A,Defender,450-899,30
2012,Serie A,Defender,900-1799,34
2012,Serie A,Defender,<450,25
2012,Serie A,Goalkeeper,1800+,15
2012,Serie A,Goalkeeper,450-899,9
2012,Serie A,Goalkeeper,900-1799,6
2012,Serie A,Goalkeeper,<450,14
2012,Serie A,Midfield,1800+,52
2012,Serie A,Midfield,450-899,29
2012,Serie A,Midfield,900-1799,48
2012,Serie A,Midfield,<450,30
2012,Serie A,unknown,1800+,23
2012,Serie A,unknown,450-899,23
2012,Serie A,unknown,900-1799,17
2012,Serie A,unknown,<450,45
2013,Bundesliga,Attack,1800+,35
2013,Bundesliga,Attack,450-899,22
2013,Bundesliga,Attack,900-1799,25
2013,Bundesliga,Attack,<450,44
2013,Bundesliga,Defender,1800+,60
2013,Bundesliga,Defender,450-899,19
2013,Bundesliga,Defender,900-1799,43
2013,Bundesliga,Defender,<450,27
2013,Bundesliga,Goalkeeper,1800+,14
2013,Bundesliga,Goalkeeper,450-899,3
2013,Bundesliga,Goalkeeper,900-1799,6
2013,Bundesliga,Goalkeeper,<450,10
2013,Bundesliga,Midfield,1800+,40
2013,Bundesliga,Midfield,450-899,23
2013,Bundesliga,Midfield,900-1799,36
2013,Bundesliga,Midfield,<450,37
2013,Bundesliga,unknown,1800+,5
2013,Bundesliga,unknown,450-899,2
2013,Bundesliga,unknown,900-1799,8
2013,Bundesliga,unknown,<450,20
2013,La Liga,Attack,1800+,40
2013,La Liga,Attack,450-899,21
2013,La Liga,Attack,900-1799,41
2013,La Liga,Attack,<450,32
2013,La Liga,Defender,1800+,64
2013,La Liga,Defender,450-899,22
2013,La Liga,Defender,900-1799,50
2013,La Liga,Defender,<450,33
2013,La Liga,Goalkeeper,1800+,17
2013,La Liga,Goalkeeper,450-899,5
2013,La Liga,Goalkeeper,900-1799,6
2013,La Liga,Goalkeeper,<450,16
2013,La Liga,Midfield,1800+,56
2013,La Liga,Midfield,450-899,14
2013,La Liga,Midfield,900-1799,33
2013,La Liga,Midfield,<450,43
2013,La Liga,unknown,1800+,15
2013,La Liga,unknown,450-899,8
2013,La Liga,unknown,900-1799,13
2013,La Liga,unknown,<450,23
2013,Ligue 1,Attack,1800+,36
2013,Ligue 1,Attack,450-899,20
2013,Ligue 1,Attack,900-1799,32
2013,Ligue 1,Attack,<450,52
2013,Ligue 1,Defender,1800+,69
2013,Ligue 1,Defender,450-899,25
2013,Ligue 1,Defender,900-1799,45
2013,Ligue 1,Defender,<450,33
2013,Ligue 1,Goalkeeper,1800+,16
2013,Ligue 1,Goalkeeper,450-899,3
2013,Ligue 1,Goalkeeper,900-1799,3
2013,Ligue 1,Goalkeeper,<450,15
2013,Ligue 1,Midfield,1800+,56
2013,Ligue 1,Midfield,450-899,22
2013,Ligue 1,Midfield,900-1799,46
2013,Ligue 1,Midfield,<450,42
2013,Ligue 1,Missing,450-899,1
2013,Ligue 1,unknown,1800+,18
2013,Ligue 1,unknown,450-899,4
2013,Ligue 1,unknown,900-1799,10
2013,Ligue 1,unknown,<450,14
2013,Premier League,Attack,1800+,39
2013,Premier League,Attack,450-899,15
2013,Premier League,Attack,900-1799,32
2013,Premier League,Attack,<450,47
2013,Premier League,Defender,1800+,72
2013,Premier League,Defender,450-899,10
2013,Premier League,Defender,900-1799,48
2013,Premier League,Defender,<450,39
2013,Premier League,Goalkeeper,1800+,19
2013,Premier League,Goalkeeper,450-899,8
2013,Premier League,Goalkeeper,900-1799,7
2013,Premier League,Goalkeeper,<450,7
2013,Premier League,Midfield,1800+,59
2013,Premier League,Midfield,450-899,25
2013,Premier League,Midfield,900-1799,43
2013,Premier League,Midfield,<450,42
2013,Premier League,unknown,1800+,10
2013,Premier League,unknown,450-899,3
2013,Premier League,unknown,900-1799,7
2013,Premier League,unknown,<450,5
2013,Serie A,Attack,1800+,30
2013,Serie A,Attack,450-899,24
2013,Serie A,Attack,900-1799,31
2013,Serie A,Attack,<450,66
2013,Serie A,Defender,1800+,77
2013,Serie A,Defender,450-899,38
2013,Serie A,Defender,900-1799,42
2013,Serie A,Defender,<450,44
2013,Serie A,Goalkeeper,1800+,18
2013,Serie A,Goalkeeper,450-899,5
2013,Serie A,Goalkeeper,900-1799,8
2013,Serie A,Goalkeeper,<450,18
2013,Serie A,Midfield,1800+,57
2013,Serie A,Midfield,450-899,27
2013,Serie A,Midfield,900-1799,47
2013,Serie A,Midfield,<450,60
2013,Serie A,Missing,<450,1
2013,Serie A,unknown,1800+,11
2013,Serie A,unknown,450-899,2
2013,Serie A,unknown,900-1799,4
2013,Serie A,unknown,<450,17
2014,Bundesliga,Attack,1800+,27
2014,Bundesliga,Attack,450-899,24
2014,Bundesliga,Attack,900-1799,31
2014,Bundesliga,Attack,<450,31
2014,Bundesliga,Defender,1800+,60
2014,Bundesliga,Defender,450-899,17
2014,Bundesliga,Defender,900-1799,41
2014,Bundesliga,Defender,<450,33
2014,Bundesliga,Goalkeeper,1800+,15
2014,Bundesliga,Goalkeeper,450-899,2
2014,Bundesliga,Goalkeeper,900-1799,4
2014,Bundesliga,Goalkeeper,<450,13
2014,Bundesliga,Midfield,1800+,45
2014,Bundesliga,Midfield,450-899,29
2014,Bundesliga,Midfield,900-1799,35
2014,Bundesliga,Midfield,<450,34
2014,Bundesliga,unknown,1800+,9
2014,Bundesliga,unknown,450-899,6
2014,Bundesliga,unknown,900-1799,6
2014,Bundesliga,unknown,<450,14
2014,La Liga,Attack,1800+,47
2014,La Liga,Attack,450-899,18
2014,La Liga,Attack,900-1799,41
2014,La Liga,Attack,<450,38
2014,La Liga,Defender,1800+,72
2014,La Liga,Defender,450-899,18
2014,La Liga,Defender,900-1799,42
2014,La Liga,Defender,<450,36
2014,La Liga,Goalkeeper,1800+,18
2014,La Liga,Goalkeeper,450-899,6
2014,La Liga,Goalkeeper,900-1799,4
2014,La Liga,Goalkeeper,<450,9
2014,La Liga,Midfield,1800+,55
2014,La Liga,Midfield,450-899,19
2014,La Liga,Midfield,900-1799,39
2014,La Liga,Midfield,<450,29
2014,La Liga,Missing,1800+,1
2014,La Liga,unknown,1800+,11
2014,La Liga,unknown,450-899,5
2014,La Liga,unknown,900-1799,10
2014,La Liga,unknown,<450,25
2014,Ligue 1,Attack,1800+,36
2014,Ligue 1,Attack,450-899,27
2014,Ligue 1,Attack,900-1799,34
2014,Ligue 1,Attack,<450,51
2014,Ligue 1,Defender,1800+,71
2014,Ligue 1,Defender,450-899,19
2014,Ligue 1,Defender,900-1799,45
2014,Ligue 1,Defender,<450,29
2014,Ligue 1,Goalkeeper,1800+,17
2014,Ligue 1,Goalkeeper,450-899,3
2014,Ligue 1,Goalkeeper,900-1799,6
2014,Ligue 1,Goalkeeper,<450,15
2014,Ligue 1,Midfield,1800+,62
2014,Ligue 1,Midfield,450-899,25
2014,Ligue 1,Midfield,900-1799,42
2014,Ligue 1,Midfield,<450,39
2014,Ligue 1,unknown,1800+,7
2014,Ligue 1,unknown,450-899,6
2014,Ligue 1,unknown,900-1799,9
2014,Ligue 1,unknown,<450,17
2014,Premier League,Attack,1800+,32
2014,Premier League,Attack,450-899,21
2014,Premier League,Attack,900-1799,41
2014,Premier League,Attack,<450,66
2014,Premier League,Defender,1800+,73
2014,Premier League,Defender,450-899,20
2014,Premier League,Defender,900-1799,44
2014,Premier League,Defender,<450,31
2014,Premier League,Goalkeeper,1800+,19
2014,Premier League,Goalkeeper,450-899,3
2014,Premier League,Goalkeeper,900-1799,6
2014,Premier League,Goalkeeper,<450,11
2014,Premier League,Midfield,1800+,61
2014,Premier League,Midfield,450-899,24
2014,Premier League,Midfield,900-1799,39
2014,Premier League,Midfield,<450,44
2014,Premier League,unknown,1800+,8
2014,Premier League,unknown,450-899,5
2014,Premier League,unknown,900-1799,5
2014,Premier League,unknown,<450,8
2014,Serie A,Attack,1800+,30
2014,Serie A,Attack,450-899,33
2014,Serie A,Attack,900-1799,25
2014,Serie A,Attack,<450,52
2014,Serie A,Defender,1800+,66
2014,Serie A,Defender,450-899,28
2014,Serie A,Defender,900-1799,67
2014,Serie A,Defender,<450,43
2014,Serie A,Goalkeeper,1800+,19
2014,Serie A,Goalkeeper,450-899,4
2014,Serie A,Goalkeeper,900-1799,7
2014,Serie A,Goalkeeper,<450,21
2014,Serie A,Midfield,1800+,57
2014,Serie A,Midfield,450-899,28
2014,Serie A,Midfield,900-1799,55
2014,Serie A,Midfield,<450,47
2014,Serie A,Missing,900-1799,1
2014,Serie A,unknown,1800+,8
2014,Serie A,unknown,450-899,4
2014,Serie A,unknown,900-1799,2
2014,Serie A,unknown,<450,14
2015,Bundesliga,Attack,1800+,35
2015,Bundesliga,Attack,450-899,30
2015,Bundesliga,Attack,900-1799,22
2015,Bundesliga,Attack,<450,35
2015,Bundesliga,Attack,unknown,3
2015,Bundesliga,Defender,1800+,58
2015,Bundesliga,Defender,450-899,16
2015,Bundesliga,Defender,900-1799,47
2015,Bundesliga,Defender,<450,20
2015,Bundesliga,Defender,unknown,10
2015,Bundesliga,Goalkeeper,1800+,17
2015,Bundesliga,Goalkeeper,450-899,5
2015,Bundesliga,Goalkeeper,900-1799,1
2015,Bundesliga,Goalkeeper,<450,9
2015,Bundesliga,Goalkeeper,unknown,20
2015,Bundesliga,Midfield,1800+,37
2015,Bundesliga,Midfield,450-899,17
2015,Bundesliga,Midfield,900-1799,43
2015,Bundesliga,Midfield,<450,39
2015,Bundesliga,Midfield,unknown,15
2015,Bundesliga,unknown,1800+,7
2015,Bundesliga,unknown,450-899,2
2015,Bundesliga,unknown,900-1799,14
2015,Bundesliga,unknown,<450,8
2015,Bundesliga,unknown,unknown,26
2015,La Liga,Attack,1800+,44
2015,La Liga,Attack,450-899,16
2015,La Liga,Attack,900-1799,49
2015,La Liga,Attack,<450,38
2015,La Liga,Attack,unknown,7
2015,La Liga,Defender,1800+,71
2015,La Liga,Defender,450-899,17
2015,La Liga,Defender,900-1799,56
2015,La Liga,Defender,<450,21
2015,La Liga,Defender,unknown,11
2015,La Liga,Goalkeeper,1800+,18
2015,La Liga,Goalkeeper,450-899,4
2015,La Liga,Goalkeeper,900-1799,7
2015,La Liga,Goalkeeper,<450,8
2015,La Liga,Goalkeeper,unknown,7
2015,La Liga,Midfield,1800+,52
2015,La Liga,Midfield,450-899,15
2015,La Liga,Midfield,900-1799,39
2015,La Liga,Midfield,<450,32
2015,La Liga,Midfield,unknown,2
2015,La Liga,Missing,1800+,1
2015,La Liga,unknown,1800+,7
2015,La Liga,unknown,450-899,8
2015,La Liga,unknown,900-1799,6
2015,La Liga,unknown,<450,18
2015,La Liga,unknown,unknown,32
2015,Ligue 1,Attack,1800+,38
2015,Ligue 1,Attack,450-899,27
2015,Ligue 1,Attack,900-1799,33
2015,Ligue 1,Attack,<450,49
2015,Ligue 1,Attack,unknown,14
2015,Ligue 1,Defender,1800+,75
2015,Ligue 1,Defender,450-899,16
2015,Ligue 1,Defender,900-1799,48
2015,Ligue 1,Defender,<450,25
2015,Ligue 1,Defender,unknown,12
2015,Ligue 1,Goalkeeper,1800+,19
2015,Ligue 1,Goalkeeper,450-899,5
2015,Ligue 1,Goalkeeper,900-1799,4
2015,Ligue 1,Goalkeeper,<450,10
2015,Ligue 1,Goalkeeper,unknown,15
2015,Ligue 1,Midfield,1800+,61
2015,Ligue 1,Midfield,450-899,20
2015,Ligue 1,Midfield,900-1799,40
2015,Ligue 1,Midfield,<450,42
2015,Ligue 1,Midfield,unknown,16
2015,Ligue 1,Missing,900-1799,1
2015,Ligue 1,unknown,1800+,9
2015,Ligue 1,unknown,450-899,5
2015,Ligue 1,unknown,900-1799,7
2015,Ligue 1,unknown,<450,11
2015,Ligue 1,unknown,unknown,27
2015,Premier League,Attack,1800+,41
2015,Premier League,Attack,450-899,24
2015,Premier League,Attack,900-1799,35
2015,Premier League,Attack,<450,53
2015,Premier League,Attack,unknown,13
2015,Premier League,Defender,1800+,79
2015,Premier League,Defender,450-899,25
2015,Premier League,Defender,900-1799,35
2015,Premier League,Defender,<450,35
2015,Premier League,Defender,unknown,13
2015,Premier League,Goalkeeper,1800+,19
2015,Premier League,Goalkeeper,450-899,7
2015,Premier League,Goalkeeper,900-1799,4
2015,Premier League,Goalkeeper,<450,15
2015,Premier League,Goalkeeper,unknown,13
2015,Premier League,Midfield,1800+,59
2015,Premier League,Midfield,450-899,21
2015,Premier League,Midfield,900-1799,39
2015,Premier League,Midfield,<450,41
2015,Premier League,Midfield,unknown,19
2015,Premier League,unknown,1800+,6
2015,Premier League,unknown,450-899,2
2015,Premier League,unknown,900-1799,3
2015,Premier League,unknown,<450,5
2015,Premier League,unknown,unknown,32
2015,Serie A,Attack,1800+,28
2015,Serie A,Attack,450-899,28
2015,Serie A,Attack,900-1799,40
2015,Serie A,Attack,<450,49
2015,Serie A,Attack,unknown,10
2015,Serie A,Defender,1800+,70
2015,Serie A,Defender,450-899,34
2015,Serie A,Defender,900-1799,54
