season,league,role,minutes_band,player_seasons
2021,Bundesliga,Midfield,450-899,22
2021,Bundesliga,Midfield,900-1799,38
2021,Bundesliga,Midfield,<450,44
2021,Bundesliga,Midfield,unknown,15
2021,Bundesliga,unknown,<450,2
2021,La Liga,Attack,1800+,47
2021,La Liga,Attack,450-899,27
2021,La Liga,Attack,900-1799,51
2021,La Liga,Attack,<450,59
2021,La Liga,Attack,unknown,28
2021,La Liga,Defender,1800+,74
2021,La Liga,Defender,450-899,30
2021,La Liga,Defender,900-1799,52
2021,La Liga,Defender,<450,42
2021,La Liga,Defender,unknown,40
2021,La Liga,Goalkeeper,1800+,19
2021,La Liga,Goalkeeper,450-899,5
2021,La Liga,Goalkeeper,900-1799,7
2021,La Liga,Goalkeeper,<450,10
2021,La Liga,Goalkeeper,unknown,42
2021,La Liga,Midfield,1800+,51
2021,La Liga,Midfield,450-899,25
2021,La Liga,Midfield,900-1799,38
2021,La Liga,Midfield,<450,43
2021,La Liga,Midfield,unknown,25
2021,La Liga,Missing,450-899,1
2021,La Liga,unknown,1800+,1
2021,La Liga,unknown,<450,1
2021,La Liga,unknown,unknown,2
2021,Ligue 1,Attack,1800+,38
2021,Ligue 1,Attack,450-899,29
2021,Ligue 1,Attack,900-1799,39
2021,Ligue 1,Attack,<450,64
2021,Ligue 1,Attack,unknown,18
2021,Ligue 1,Defender,1800+,76
2021,Ligue 1,Defender,450-899,16
2021,Ligue 1,Defender,900-1799,56
2021,Ligue 1,Defender,<450,42
2021,Ligue 1,Defender,unknown,41
2021,Ligue 1,Goalkeeper,1800+,20
2021,Ligue 1,Goalkeeper,450-899,7
2021,Ligue 1,Goalkeeper,900-1799,3
2021,Ligue 1,Goalkeeper,<450,9
2021,Ligue 1,Goalkeeper,unknown,35
2021,Ligue 1,Midfield,1800+,57
2021,Ligue 1,Midfield,450-899,19
2021,Ligue 1,Midfield,900-1799,47
2021,Ligue 1,Midfield,<450,61
2021,Ligue 1,Midfield,unknown,23
2021,Ligue 1,unknown,900-1799,1
2021,Ligue 1,unknown,<450,1
2021,Premier League,Attack,1800+,44
2021,Premier League,Attack,450-899,16
2021,Premier League,Attack,900-1799,48
2021,Premier League,Attack,<450,45
2021,Premier League,Attack,unknown,15
2021,Premier League,Defender,1800+,80
2021,Premier League,Defender,450-899,32
2021,Premier League,Defender,900-1799,38
2021,Premier League,Defender,<450,38
2021,Premier League,Defender,unknown,37
2021,Premier League,Goalkeeper,1800+,20
2021,Premier League,Goalkeeper,450-899,3
2021,Premier League,Goalkeeper,900-1799,3
2021,Premier League,Goalkeeper,<450,16
2021,Premier League,Goalkeeper,unknown,29
2021,Premier League,Midfield,1800+,57
2021,Premier League,Midfield,450-899,19
2021,Premier League,Midfield,900-1799,37
2021,Premier League,Midfield,<450,34
2021,Premier League,Midfield,unknown,40
2021,Premier League,unknown,<450,2
2021,Premier League,unknown,unknown,1
2021,Serie A,Attack,1800+,30
2021,Serie A,Attack,450-899,25
2021,Serie A,Attack,900-1799,45
2021,Serie A,Attack,<450,56
2021,Serie A,Attack,unknown,34
2021,Serie A,Defender,1800+,68
2021,Serie A,Defender,450-899,20
2021,Serie A,Defender,900-1799,64
2021,Serie A,Defender,<450,61
2021,Serie A,Defender,unknown,56
2021,Serie A,Goalkeeper,1800+,20
2021,Serie A,Goalkeeper,450-899,6
2021,Serie A,Goalkeeper,900-1799,3
2021,Serie A,Goalkeeper,<450,22
2021,Serie A,Goalkeeper,unknown,44
2021,Serie A,Midfield,1800+,67
2021,Serie A,Midfield,450-899,25
2021,Serie A,Midfield,900-1799,43
2021,Serie A,Midfield,<450,63
2021,Serie A,Midfield,unknown,50
2021,Serie A,unknown,1800+,1
2022,Bundesliga,Attack,1800+,31
2022,Bundesliga,Attack,450-899,23
2022,Bundesliga,Attack,900-1799,38
2022,Bundesliga,Attack,<450,57
2022,Bundesliga,Attack,unknown,13
2022,Bundesliga,Defender,1800+,62
2022,Bundesliga,Defender,450-899,30
2022,Bundesliga,Defender,900-1799,46
2022,Bundesliga,Defender,<450,44
2022,Bundesliga,Defender,unknown,12
2022,Bundesliga,Goalkeeper,1800+,17
2022,Bundesliga,Goalkeeper,450-899,4
2022,Bundesliga,Goalkeeper,900-1799,3
2022,Bundesliga,Goalkeeper,<450,16
2022,Bundesliga,Goalkeeper,unknown,16
2022,Bundesliga,Midfield,1800+,44
2022,Bundesliga,Midfield,450-899,17
2022,Bundesliga,Midfield,900-1799,36
2022,Bundesliga,Midfield,<450,53
2022,Bundesliga,Midfield,unknown,20
2022,Bundesliga,unknown,<450,2
2022,Bundesliga,unknown,unknown,18
2022,La Liga,Attack,1800+,40
2022,La Liga,Attack,450-899,35
2022,La Liga,Attack,900-1799,50
2022,La Liga,Attack,<450,71
2022,La Liga,Attack,unknown,23
2022,La Liga,Defender,1800+,72
2022,La Liga,Defender,450-899,23
2022,La Liga,Defender,900-1799,56
2022,La Liga,Defender,<450,55
2022,La Liga,Defender,unknown,25
2022,La Liga,Goalkeeper,1800+,19
2022,La Liga,Goalkeeper,450-899,3
2022,La Liga,Goalkeeper,900-1799,6
2022,La Liga,Goalkeeper,<450,15
2022,La Liga,Goalkeeper,unknown,33
2022,La Liga,Midfield,1800+,47
2022,La Liga,Midfield,450-899,21
2022,La Liga,Midfield,900-1799,54
2022,La Liga,Midfield,<450,43
2022,La Liga,Midfield,unknown,21
2022,La Liga,unknown,1800+,1
2022,La Liga,unknown,<450,7
2022,La Liga,unknown,unknown,48
2022,Ligue 1,Attack,1800+,36
2022,Ligue 1,Attack,450-899,27
2022,Ligue 1,Attack,900-1799,35
2022,Ligue 1,Attack,<450,82
2022,Ligue 1,Attack,unknown,16
2022,Ligue 1,Defender,1800+,79
2022,Ligue 1,Defender,450-899,26
2022,Ligue 1,Defender,900-1799,51
2022,Ligue 1,Defender,<450,40
2022,Ligue 1,Defender,unknown,29
2022,Ligue 1,Goalkeeper,1800+,18
2022,Ligue 1,Goalkeeper,450-899,4
2022,Ligue 1,Goalkeeper,900-1799,13
2022,Ligue 1,Goalkeeper,<450,6
2022,Ligue 1,Goalkeeper,unknown,26
2022,Ligue 1,Midfield,1800+,62
2022,Ligue 1,Midfield,450-899,21
2022,Ligue 1,Midfield,900-1799,44
2022,Ligue 1,Midfield,<450,52
2022,Ligue 1,Midfield,unknown,28
2022,Ligue 1,unknown,900-1799,1
2022,Ligue 1,unknown,<450,6
2022,Ligue 1,unknown,unknown,31
2022,Premier League,Attack,1800+,49
2022,Premier League,Attack,450-899,16
2022,Premier League,Attack,900-1799,44
2022,Premier League,Attack,<450,51
2022,Premier League,Attack,unknown,19
2022,Premier League,Defender,1800+,75
2022,Premier League,Defender,450-899,21
2022,Premier League,Defender,900-1799,56
2022,Premier League,Defender,<450,36
2022,Premier League,Defender,unknown,37
2022,Premier League,Goalkeeper,1800+,19
2022,Premier League,Goalkeeper,450-899,3
2022,Premier League,Goalkeeper,900-1799,4
2022,Premier League,Goalkeeper,<450,16
2022,Premier League,Goalkeeper,unknown,30
2022,Premier League,Midfield,1800+,52
2022,Premier League,Midfield,450-899,19
2022,Premier League,Midfield,900-1799,43
2022,Premier League,Midfield,<450,38
2022,Premier League,Midfield,unknown,31
2022,Premier League,unknown,900-1799,1
2022,Premier League,unknown,<450,3
2022,Premier League,unknown,unknown,30
2022,Serie A,Attack,1800+,37
2022,Serie A,Attack,450-899,24
2022,Serie A,Attack,900-1799,34
2022,Serie A,Attack,<450,70
2022,Serie A,Attack,unknown,25
2022,Serie A,Defender,1800+,66
2022,Serie A,Defender,450-899,32
2022,Serie A,Defender,900-1799,63
2022,Serie A,Defender,<450,54
2022,Serie A,Defender,unknown,22
2022,Serie A,Goalkeeper,1800+,19
2022,Serie A,Goalkeeper,450-899,7
2022,Serie A,Goalkeeper,900-1799,5
2022,Serie A,Goalkeeper,<450,18
2022,Serie A,Goalkeeper,unknown,37
2022,Serie A,Midfield,1800+,61
2022,Serie A,Midfield,450-899,37
2022,Serie A,Midfield,900-1799,48
2022,Serie A,Midfield,<450,52
2022,Serie A,Midfield,unknown,33
2022,Serie A,unknown,900-1799,1
2022,Serie A,unknown,<450,4
2022,Serie A,unknown,unknown,61
2023,Bundesliga,Attack,1800+,25
2023,Bundesliga,Attack,450-899,18
2023,Bundesliga,Attack,900-1799,40
2023,Bundesliga,Attack,<450,63
2023,Bundesliga,Attack,unknown,11
2023,Bundesliga,Defender,1800+,68
2023,Bundesliga,Defender,450-899,25
2023,Bundesliga,Defender,900-1799,43
2023,Bundesliga,Defender,<450,45
2023,Bundesliga,Defender,unknown,9
2023,Bundesliga,Goalkeeper,1800+,14
2023,Bundesliga,Goalkeeper,450-899,5
2023,Bundesliga,Goalkeeper,900-1799,8
2023,Bundesliga,Goalkeeper,<450,6
2023,Bundesliga,Goalkeeper,unknown,19
2023,Bundesliga,Midfield,1800+,43
2023,Bundesliga,Midfield,450-899,32
2023,Bundesliga,Midfield,900-1799,36
2023,Bundesliga,Midfield,<450,36
2023,Bundesliga,Midfield,unknown,10
2023,Bundesliga,unknown,450-899,1
2023,Bundesliga,unknown,900-1799,2
2023,Bundesliga,unknown,<450,5
2023,Bundesliga,unknown,unknown,35
2023,La Liga,Attack,1800+,42
2023,La Liga,Attack,450-899,26
2023,La Liga,Attack,900-1799,52
2023,La Liga,Attack,<450,70
2023,La Liga,Attack,unknown,14
2023,La Liga,Defender,1800+,64
2023,La Liga,Defender,450-899,21
2023,La Liga,Defender,900-1799,67
2023,La Liga,Defender,<450,44
2023,La Liga,Defender,unknown,10
2023,La Liga,Goalkeeper,1800+,18
2023,La Liga,Goalkeeper,450-899,3
2023,La Liga,Goalkeeper,900-1799,11
2023,La Liga,Goalkeeper,<450,11
2023,La Liga,Goalkeeper,unknown,21
2023,La Liga,Midfield,1800+,55
2023,La Liga,Midfield,450-899,19
2023,La Liga,Midfield,900-1799,43
2023,La Liga,Midfield,<450,40
2023,La Liga,Midfield,unknown,23
2023,La Liga,unknown,1800+,1
2023,La Liga,unknown,900-1799,2
2023,La Liga,unknown,<450,8
2023,La Liga,unknown,unknown,65
2023,Ligue 1,Attack,1800+,39
2023,Ligue 1,Attack,450-899,22
2023,Ligue 1,Attack,900-1799,43
2023,Ligue 1,Attack,<450,70
2023,Ligue 1,Attack,unknown,9
2023,Ligue 1,Defender,1800+,68
2023,Ligue 1,Defender,450-899,37
2023,Ligue 1,Defender,900-1799,54
2023,Ligue 1,Defender,<450,49
2023,Ligue 1,Defender,unknown,15
2023,Ligue 1,Goalkeeper,1800+,18
2023,Ligue 1,Goalkeeper,450-899,6
2023,Ligue 1,Goalkeeper,900-1799,6
2023,Ligue 1,Goalkeeper,<450,11
2023,Ligue 1,Goalkeeper,unknown,23
2023,Ligue 1,Midfield,1800+,57
2023,Ligue 1,Midfield,450-899,18
2023,Ligue 1,Midfield,900-1799,43
2023,Ligue 1,Midfield,<450,53
2023,Ligue 1,Midfield,unknown,8
2023,Ligue 1,unknown,1800+,1
2023,Ligue 1,unknown,450-899,1
2023,Ligue 1,unknown,900-1799,2
2023,Ligue 1,unknown,<450,9
2023,Ligue 1,unknown,unknown,55
2023,Premier League,Attack,1800+,44
2023,Premier League,Attack,450-899,25
2023,Premier League,Attack,900-1799,42
2023,Premier League,Attack,<450,46
2023,Premier League,Attack,unknown,17
2023,Premier League,Defender,1800+,76
2023,Premier League,Defender,450-899,25
2023,Premier League,Defender,900-1799,54
2023,Premier League,Defender,<450,35
2023,Premier League,Defender,unknown,25
2023,Premier League,Goalkeeper,1800+,19
2023,Premier League,Goalkeeper,450-899,3
2023,Premier League,Goalkeeper,900-1799,6
2023,Premier League,Goalkeeper,<450,11
2023,Premier League,Goalkeeper,unknown,31
2023,Premier League,Midfield,1800+,54
2023,Premier League,Midfield,450-899,29
2023,Premier League,Midfield,900-1799,35
2023,Premier League,Midfield,<450,58
2023,Premier League,Midfield,unknown,21
2023,Premier League,unknown,1800+,1
2023,Premier League,unknown,900-1799,1
2023,Premier League,unknown,<450,7
2023,Premier League,unknown,unknown,60
2023,Serie A,Attack,1800+,33
2023,Serie A,Attack,450-899,27
2023,Serie A,Attack,900-1799,42
2023,Serie A,Attack,<450,40
2023,Serie A,Attack,unknown,11
2023,Serie A,Defender,1800+,74
2023,Serie A,Defender,450-899,30
2023,Serie A,Defender,900-1799,51
2023,Serie A,Defender,<450,52
2023,Serie A,Defender,unknown,23
2023,Serie A,Goalkeeper,1800+,20
2023,Serie A,Goalkeeper,450-899,4
2023,Serie A,Goalkeeper,900-1799,5
2023,Serie A,Goalkeeper,<450,20
2023,Serie A,Goalkeeper,unknown,24
2023,Serie A,Midfield,1800+,60
2023,Serie A,Midfield,450-899,40
2023,Serie A,Midfield,900-1799,49
2023,Serie A,Midfield,<450,52
2023,Serie A,Midfield,unknown,19
2023,Serie A,unknown,1800+,1
2023,Serie A,unknown,<450,5
2023,Serie A,unknown,unknown,81
2024,Bundesliga,Attack,1800+,28
2024,Bundesliga,Attack,450-899,22
2024,Bundesliga,Attack,900-1799,39
2024,Bundesliga,Attack,<450,59
2024,Bundesliga,Attack,unknown,3
2024,Bundesliga,Defender,1800+,61
2024,Bundesliga,Defender,450-899,21
2024,Bundesliga,Defender,900-1799,57
2024,Bundesliga,Defender,<450,31
2024,Bundesliga,Defender,unknown,15
2024,Bundesliga,Goalkeeper,1800+,17
2024,Bundesliga,Goalkeeper,450-899,4
2024,Bundesliga,Goalkeeper,900-1799,2
2024,Bundesliga,Goalkeeper,<450,9
2024,Bundesliga,Goalkeeper,unknown,17
2024,Bundesliga,Midfield,1800+,41
2024,Bundesliga,Midfield,450-899,7
2024,Bundesliga,Midfield,900-1799,50
2024,Bundesliga,Midfield,<450,48
2024,Bundesliga,Midfield,unknown,1
2024,Bundesliga,unknown,450-899,1
2024,Bundesliga,unknown,900-1799,1
2024,Bundesliga,unknown,<450,9
2024,Bundesliga,unknown,unknown,40
2024,La Liga,Attack,1800+,45
2024,La Liga,Attack,450-899,28
2024,La Liga,Attack,900-1799,43
2024,La Liga,Attack,<450,70
2024,La Liga,Attack,unknown,13
2024,La Liga,Defender,1800+,71
2024,La Liga,Defender,450-899,28
2024,La Liga,Defender,900-1799,58
2024,La Liga,Defender,<450,45
2024,La Liga,Defender,unknown,14
2024,La Liga,Goalkeeper,1800+,19
2024,La Liga,Goalkeeper,450-899,2
2024,La Liga,Goalkeeper,900-1799,6
2024,La Liga,Goalkeeper,<450,18
2024,La Liga,Goalkeeper,unknown,15
2024,La Liga,Midfield,1800+,50
2024,La Liga,Midfield,450-899,23
2024,La Liga,Midfield,900-1799,45
2024,La Liga,Midfield,<450,41
2024,La Liga,Midfield,unknown,12
2024,La Liga,unknown,1800+,1
2024,La Liga,unknown,900-1799,2
2024,La Liga,unknown,<450,16
2024,La Liga,unknown,unknown,78
2024,Ligue 1,Attack,1800+,26
2024,Ligue 1,Attack,450-899,26
2024,Ligue 1,Attack,900-1799,38
2024,Ligue 1,Attack,<450,65
2024,Ligue 1,Attack,unknown,6
2024,Ligue 1,Defender,1800+,59
2024,Ligue 1,Defender,450-899,24
2024,Ligue 1,Defender,900-1799,54
2024,Ligue 1,Defender,<450,45
2024,Ligue 1,Defender,unknown,20
2024,Ligue 1,Goalkeeper,1800+,17
2024,Ligue 1,Goalkeeper,450-899,2
2024,Ligue 1,Goalkeeper,900-1799,3
2024,Ligue 1,Goalkeeper,<450,12
2024,Ligue 1,Goalkeeper,unknown,15
2024,Ligue 1,Midfield,1800+,38
2024,Ligue 1,Midfield,450-899,18
2024,Ligue 1,Midfield,900-1799,51
2024,Ligue 1,Midfield,<450,50
2024,Ligue 1,Midfield,unknown,11
2024,Ligue 1,unknown,1800+,2
2024,Ligue 1,unknown,450-899,1
2024,Ligue 1,unknown,900-1799,3
2024,Ligue 1,unknown,<450,7
2024,Ligue 1,unknown,unknown,64
2024,Premier League,Attack,1800+,47
2024,Premier League,Attack,450-899,14
2024,Premier League,Attack,900-1799,36
2024,Premier League,Attack,<450,62
2024,Premier League,Attack,unknown,5
2024,Premier League,Defender,1800+,66
2024,Premier League,Defender,450-899,28
2024,Premier League,Defender,900-1799,61
2024,Premier League,Defender,<450,37
2024,Premier League,Defender,unknown,17
2024,Premier League,Goalkeeper,1800+,19
2024,Premier League,Goalkeeper,450-899,5
2024,Premier League,Goalkeeper,900-1799,9
2024,Premier League,Goalkeeper,<450,8
2024,Premier League,Goalkeeper,unknown,27
2024,Premier League,Midfield,1800+,59
2024,Premier League,Midfield,450-899,18
2024,Premier League,Midfield,900-1799,43
2024,Premier League,Midfield,<450,58
2024,Premier League,Midfield,unknown,18
2024,Premier League,unknown,900-1799,1
2024,Premier League,unknown,<450,11
2024,Premier League,unknown,unknown,99
2024,Serie A,Attack,1800+,32
2024,Serie A,Attack,450-899,27
2024,Serie A,Attack,900-1799,36
2024,Serie A,Attack,<450,59
2024,Serie A,Attack,unknown,15
2024,Serie A,Defender,1800+,68
2024,Serie A,Defender,450-899,28
2024,Serie A,Defender,900-1799,65
2024,Serie A,Defender,<450,44
2024,Serie A,Defender,unknown,17
2024,Serie A,Goalkeeper,1800+,20
2024,Serie A,Goalkeeper,450-899,7
2024,Serie A,Goalkeeper,900-1799,5
2024,Serie A,Goalkeeper,<450,17
2024,Serie A,Goalkeeper,unknown,16
2024,Serie A,Midfield,1800+,68
2024,Serie A,Midfield,450-899,26
2024,Serie A,Midfield,900-1799,43
2024,Serie A,Midfield,<450,61
2024,Serie A,Midfield,unknown,16
2024,Serie A,unknown,900-1799,1
2024,Serie A,unknown,<450,8
2024,Serie A,unknown,unknown,108
2025,Bundesliga,Attack,1800+,27
2025,Bundesliga,Attack,450-899,16
2025,Bundesliga,Attack,900-1799,43
2025,Bundesliga,Attack,<450,50
2025,Bundesliga,Attack,unknown,3
2025,Bundesliga,Defender,1800+,64
2025,Bundesliga,Defender,450-899,25
2025,Bundesliga,Defender,900-1799,49
2025,Bundesliga,Defender,<450,39
2025,Bundesliga,Defender,unknown,7
2025,Bundesliga,Goalkeeper,1800+,15
2025,Bundesliga,Goalkeeper,450-899,7
2025,Bundesliga,Goalkeeper,900-1799,5
2025,Bundesliga,Goalkeeper,<450,10
2025,Bundesliga,Goalkeeper,unknown,12
2025,Bundesliga,Midfield,1800+,38
2025,Bundesliga,Midfield,450-899,20
2025,Bundesliga,Midfield,900-1799,39
2025,Bundesliga,Midfield,<450,43
2025,Bundesliga,Midfield,unknown,3
2025,Bundesliga,unknown,450-899,2
2025,Bundesliga,unknown,unknown,62
2025,La Liga,Attack,1800+,45
2025,La Liga,Attack,450-899,32
2025,La Liga,Attack,900-1799,48
2025,La Liga,Attack,<450,70
2025,La Liga,Attack,unknown,8
2025,La Liga,Defender,1800+,80
2025,La Liga,Defender,450-899,34
2025,La Liga,Defender,900-1799,43
2025,La Liga,Defender,<450,46
2025,La Liga,Defender,unknown,11
2025,La Liga,Goalkeeper,1800+,18
2025,La Liga,Goalkeeper,450-899,8
2025,La Liga,Goalkeeper,900-1799,7
2025,La Liga,Goalkeeper,<450,12
2025,La Liga,Goalkeeper,unknown,10
2025,La Liga,Midfield,1800+,46
2025,La Liga,Midfield,450-899,20
2025,La Liga,Midfield,900-1799,48
2025,La Liga,Midfield,<450,42
2025,La Liga,Midfield,unknown,10
2025,La Liga,unknown,1800+,1
2025,La Liga,unknown,900-1799,2
2025,La Liga,unknown,<450,1
2025,La Liga,unknown,unknown,116
2025,Ligue 1,Attack,1800+,28
2025,Ligue 1,Attack,450-899,23
2025,Ligue 1,Attack,900-1799,47
2025,Ligue 1,Attack,<450,70
2025,Ligue 1,Attack,unknown,7
2025,Ligue 1,Defender,1800+,58
2025,Ligue 1,Defender,450-899,30
2025,Ligue 1,Defender,900-1799,52
2025,Ligue 1,Defender,<450,47
2025,Ligue 1,Defender,unknown,13
2025,Ligue 1,Goalkeeper,1800+,13
2025,Ligue 1,Goalkeeper,450-899,3
2025,Ligue 1,Goalkeeper,900-1799,10
2025,Ligue 1,Goalkeeper,<450,10
2025,Ligue 1,Goalkeeper,unknown,10
2025,Ligue 1,Midfield,1800+,39
2025,Ligue 1,Midfield,450-899,25
2025,Ligue 1,Midfield,900-1799,40
2025,Ligue 1,Midfield,<450,54
2025,Ligue 1,Midfield,unknown,4
2025,Ligue 1,unknown,1800+,1
2025,Ligue 1,unknown,900-1799,1
2025,Ligue 1,unknown,<450,2
2025,Ligue 1,unknown,unknown,82
2025,Premier League,Attack,1800+,45
2025,Premier League,Attack,450-899,20
2025,Premier League,Attack,900-1799,32
2025,Premier League,Attack,<450,61
2025,Premier League,Attack,unknown,6
2025,Premier League,Defender,1800+,70
2025,Premier League,Defender,450-899,22
2025,Premier League,Defender,900-1799,52
2025,Premier League,Defender,<450,60
2025,Premier League,Defender,unknown,14
2025,Premier League,Goalkeeper,1800+,19
2025,Premier League,Goalkeeper,450-899,7
2025,Premier League,Goalkeeper,900-1799,8
2025,Premier League,Goalkeeper,<450,11
2025,Premier League,Goalkeeper,unknown,20
2025,Premier League,Midfield,1800+,61
2025,Premier League,Midfield,450-899,27
2025,Premier League,Midfield,900-1799,35
2025,Premier League,Midfield,<450,40
2025,Premier League,Midfield,unknown,10
2025,Premier League,unknown,1800+,1
2025,Premier League,unknown,450-899,2
2025,Premier League,unknown,900-1799,1
2025,Premier League,unknown,<450,2
2025,Premier League,unknown,unknown,80
2025,Serie A,Attack,1800+,35
2025,Serie A,Attack,450-899,31
2025,Serie A,Attack,900-1799,36
2025,Serie A,Attack,<450,62
2025,Serie A,Attack,unknown,8
2025,Serie A,Defender,1800+,72
2025,Serie A,Defender,450-899,24
2025,Serie A,Defender,900-1799,62
2025,Serie A,Defender,<450,60
2025,Serie A,Defender,unknown,11
2025,Serie A,Goalkeeper,1800+,17
2025,Serie A,Goalkeeper,450-899,9
2025,Serie A,Goalkeeper,900-1799,8
2025,Serie A,Goalkeeper,<450,15
2025,Serie A,Goalkeeper,unknown,20
2025,Serie A,Midfield,1800+,52
2025,Serie A,Midfield,450-899,25
2025,Serie A,Midfield,900-1799,59
2025,Serie A,Midfield,<450,68
2025,Serie A,Midfield,unknown,12
2025,Serie A,unknown,1800+,1
2025,Serie A,unknown,unknown,128
2026,Bundesliga,Attack,<450,88
2026,Bundesliga,Attack,unknown,9
2026,Bundesliga,Defender,<450,106
2026,Bundesliga,Defender,unknown,18
2026,Bundesliga,Goalkeeper,<450,16
2026,Bundesliga,Goalkeeper,unknown,21
2026,Bundesliga,Midfield,<450,99
2026,Bundesliga,Midfield,unknown,8
2026,Bundesliga,unknown,<450,47
2026,Bundesliga,unknown,unknown,19
2026,La Liga,Attack,<450,127
2026,La Liga,Attack,unknown,13
2026,La Liga,Defender,450-899,1
2026,La Liga,Defender,<450,133
2026,La Liga,Defender,unknown,20
2026,La Liga,Goalkeeper,450-899,1
2026,La Liga,Goalkeeper,<450,22
2026,La Liga,Goalkeeper,unknown,21
2026,La Liga,Midfield,450-899,1
2026,La Liga,Midfield,<450,101
2026,La Liga,Midfield,unknown,9
2026,La Liga,unknown,<450,52
2026,La Liga,unknown,unknown,60
2026,Ligue 1,Attack,<450,99
2026,Ligue 1,Attack,unknown,10
2026,Ligue 1,Defender,<450,111
2026,Ligue 1,Defender,unknown,11
2026,Ligue 1,Goalkeeper,<450,21
2026,Ligue 1,Goalkeeper,unknown,13
2026,Ligue 1,Midfield,<450,86
2026,Ligue 1,Midfield,unknown,7
2026,Ligue 1,unknown,<450,71
2026,Ligue 1,unknown,unknown,41
2026,Premier League,Attack,<450,106
2026,Premier League,Attack,unknown,12
2026,Premier League,Defender,<450,134
2026,Premier League,Defender,unknown,23
2026,Premier League,Goalkeeper,<450,25
2026,Premier League,Goalkeeper,unknown,25
2026,Premier League,Midfield,<450,118
2026,Premier League,Midfield,unknown,14
2026,Premier League,unknown,<450,23
2026,Premier League,unknown,unknown,24
2026,Serie A,Attack,<450,97
2026,Serie A,Attack,unknown,20
2026,Serie A,Defender,<450,128
2026,Serie A,Defender,unknown,33
2026,Serie A,Goalkeeper,<450,23
2026,Serie A,Goalkeeper,unknown,27
2026,Serie A,Midfield,<450,128
2026,Serie A,Midfield,unknown,18
2026,Serie A,unknown,<450,33
2026,Serie A,unknown,unknown,63
